lipid_class,has_HG,species_gate,molecular_species_gate,primary_evidence,secondary_evidence,scoring_policy,scoring_weights,HG examples,LCB evidence,NL examples,common examples,generator_functions,status,notes
SM,True,Precursor AND HG,Precursor AND HG AND LCB,HG,LCB,structural_60_20_20,60 / 20 / 20,[phosphocholine+H]+,LCB_fragment / LCB_mz,C5H14NO4P; C3H9N,[C2H5NO+H]+; other precursor dehydration,SM,provisional_author_policy,
PE-Cer,True,Precursor AND HG,Precursor AND HG AND LCB,HG,LCB,structural_60_20_20,60 / 20 / 20,[phosphoethanolamine+H]+,LCB_fragment / LCB_mz,phosphoethanolamine; C2H5N,[C2H5NO+H]+; other precursor dehydration,PE_cer,provisional_author_policy,
PI-Cer,True,Precursor AND HG,Precursor AND HG AND LCB,HG,LCB,structural_60_20_20,60 / 20 / 20,[phosphate+H]+,LCB_fragment / LCB_mz,phosphate; C6H10O5,[C2H5NO+H]+; other precursor dehydration,PI_cer,provisional_author_policy,
PG-Cer,True,Precursor AND HG,Precursor AND HG AND LCB,HG,LCB,structural_60_20_20,60 / 20 / 20,[phosphoglycerol+H]+,LCB_fragment / LCB_mz,phosphoglycerol; C3H8O3,[C2H5NO+H]+; other precursor dehydration,PG_cer,provisional_author_policy,
CAEP,True,Precursor AND HG,Precursor AND HG AND LCB,HG,LCB,structural_60_20_20,60 / 20 / 20,[C2H8NO3P+H]+,LCB_fragment / LCB_mz,C2H8NO3P,[C2H5NO+H]+; other precursor dehydration,CAEP,provisional_author_policy,
N-CAEP,True,Precursor AND HG,Precursor AND HG AND LCB,HG,LCB,structural_60_20_20,60 / 20 / 20,[C3H10NO3P+H]+],LCB_fragment / LCB_mz,C3H10NO3P,[C2H5NO+H]+; other precursor dehydration,N_CAEP,provisional_author_policy,
Cer1P,True,Precursor AND HG,Precursor AND HG AND LCB,HG,LCB,structural_60_20_20,60 / 20 / 20,H4PO4,LCB_fragment / LCB_mz,H3PO4,[C2H5NO+H]+; other precursor dehydration,CerP,provisional_author_policy,
GM1,True,Precursor AND HG,Precursor AND HG AND LCB,HG,LCB,structural_60_20_20,60 / 20 / 20,NeuAc+H; NeuAc+H-H2O,LCB_fragment / LCB_mz,first/complete glycan loss,[C2H5NO+H]+; other precursor dehydration,GSL_fragments,provisional_author_policy,NeuAc HG only when actually generated; branch isomers require explicit structure
GM1a,True,Precursor AND HG,Precursor AND HG AND LCB,HG,LCB,structural_60_20_20,60 / 20 / 20,NeuAc+H; NeuAc+H-H2O,LCB_fragment / LCB_mz,first/complete glycan loss,[C2H5NO+H]+; other precursor dehydration,GSL_fragments,provisional_author_policy,NeuAc HG only when actually generated; branch isomers require explicit structure
GM1b,True,Precursor AND HG,Precursor AND HG AND LCB,HG,LCB,structural_60_20_20,60 / 20 / 20,NeuAc+H; NeuAc+H-H2O,LCB_fragment / LCB_mz,first/complete glycan loss,[C2H5NO+H]+; other precursor dehydration,GSL_fragments,provisional_author_policy,NeuAc HG only when actually generated; branch isomers require explicit structure
